10001,6666,Juan Perez,8000.00,2025-10-28,23:39,23:38
10002,5678,Ana Torres,8250.75,2025-10-27,15:45
10003,4321,Carlos Lopez,120.50,2025-10-26,11:20
10004,8765,Mariana Ruiz,25000.00,2025-10-20,10:05
10005,1111,Diego Morales,305.25,2025-10-22,14:40
10006,2222,Sofia Castillo,1500.00,2025-10-18,16:10
10007,3333,Andres Gomez,9876.90,2025-10-15,09:55
10008,4444,Lucia Fernandez,42.75,2025-10-10,13:30
10009,5555,Miguel Sanchez,600.00,2025-10-05,08:15
10010,6666,Paola Rivera,4300.40,2025-10-02,12:00
10011,7777,Ricardo Vega,15000.00,2025-09-30,17:25
10012,8888,Valeria Molina,75.00,2025-09-28,10:50
10013,9999,Fernando Rojas,210.10,2025-09-25,11:10
10014,1212,Elena Marquez,980.99,2025-09-20,15:00
10015,3434,Victor Ortega,1425.60,2025-09-18,09:05
10016,5656,Carla Mendoza,760.00,2025-09-15,14:20
10017,7878,Jose Alvarez,50.00,2025-09-10,16:45
10018,9090,Natalia Cruz,99999.99,2025-09-05,10:30
10019,1010,Martin Gil,320.30,2025-08-30,13:15
10020,2020,Adriana Paredes,2640.00,2025-10-28,23:38,23:18
